Semana,Caudal
22/01/2000,69.30963
29/01/2000,59.81791
05/02/2000,61.95215
12/02/2000,96.10415
19/02/2000,253.08719
26/02/2000,277.08953
04/03/2000,148.00423
11/03/2000,448.29453
18/03/2000,608.40997
25/03/2000,776.2195
01/04/2000,476.93049
08/04/2000,338.07581
15/04/2000,293.24359
22/04/2000,267.04362
29/04/2000,265.13526
06/05/2000,294.54694
13/05/2000,275.31976
20/05/2000,221.53541
27/05/2000,183.37678
03/06/2000,77.37297
10/06/2000,75.29722
17/06/2000,57.71299
24/06/2000,48.6421
01/07/2000,45.66218
08/07/2000,41.06419
15/07/2000,35.51792
22/07/2000,33.17064
29/07/2000,31.85515
05/08/2000,34.20348
12/08/2000,33.73563
19/08/2000,29.55129
26/08/2000,33.80385
02/09/2000,30.71807
09/09/2000,28.51649
16/09/2000,30.58235
23/09/2000,30.60626
30/09/2000,29.77813
07/10/2000,27.85287
14/10/2000,34.01592
21/10/2000,30.68109
28/10/2000,42.30876
04/11/2000,35.73834
11/11/2000,30.67602
18/11/2000,36.80827
25/11/2000,45.08065
02/12/2000,51.86955
09/12/2000,45.69953
16/12/2000,56.80754
23/12/2000,77.921
30/12/2000,84.22561
06/01/2001,68.2096
13/01/2001,65.97172
20/01/2001,187.83009
27/01/2001,303.37471
03/02/2001,414.84879
10/02/2001,375.34359
17/02/2001,251.82932
24/02/2001,161.01851
03/03/2001,91.399
10/03/2001,104.43096
17/03/2001,124.72637
24/03/2001,170.20867
31/03/2001,252.86396
07/04/2001,343.20217
14/04/2001,323.93082
21/04/2001,225.71939
28/04/2001,167.78946
05/05/2001,120.26602
12/05/2001,86.15141
19/05/2001,63.69918
26/05/2001,53.9592
02/06/2001,64.58646
09/06/2001,58.34784
16/06/2001,46.91589
23/06/2001,38.6573
30/06/2001,31.95596
07/07/2001,30.09683
14/07/2001,28.80669
21/07/2001,28.50184
28/07/2001,29.3033
04/08/2001,29.08166
11/08/2001,29.5443
18/08/2001,27.55754
25/08/2001,31.03868
01/09/2001,31.55924
08/09/2001,30.78181
15/09/2001,30.56933
22/09/2001,30.22157
29/09/2001,31.53665
06/10/2001,40.42696
13/10/2001,34.49351
20/10/2001,31.29089
27/10/2001,38.61509
03/11/2001,37.50544
10/11/2001,40.38842
17/11/2001,75.59832
24/11/2001,56.27988
01/12/2001,110.67641
08/12/2001,156.63439
15/12/2001,184.82085
22/12/2001,124.2731
29/12/2001,170.83315
05/01/2002,100.56899
12/01/2002,114.72707
19/01/2002,139.07774
26/01/2002,77.19616
02/02/2002,94.53371
09/02/2002,135.46902
16/02/2002,100.56804
23/02/2002,163.00793
02/03/2002,124.97267
09/03/2002,166.11907
16/03/2002,179.36127
23/03/2002,272.73354
30/03/2002,263.43236
06/04/2002,280.024
13/04/2002,272.15737
