Semana,Caudal
2000-00,69.30963
2000-01,59.81791
2000-02,61.95215
2000-03,96.10415
2000-04,253.08719
2000-05,277.08953
2000-06,148.00423
2000-07,448.29453
2000-08,608.40997
2000-09,776.2195
2000-10,476.93049
2000-11,338.07581
2000-12,293.24359
2000-13,267.04362
2000-14,265.13526
2000-15,294.54694
2000-16,275.31976
2000-17,221.53541
2000-18,183.37678
2000-19,77.37297
2000-20,75.29722
2000-21,57.71299
2000-22,48.6421
2000-23,45.66218
2000-24,41.06419
2000-25,35.51792
2000-26,33.17064
2000-27,31.85515
2000-28,34.20348
2000-29,33.73563
2000-30,29.55129
2000-31,33.80385
2000-32,30.71807
2000-33,28.51649
2000-34,30.58235
2000-35,30.60626
2000-36,29.77813
2000-37,27.85287
2000-38,34.01592
2000-39,30.68109
2000-40,42.30876
2000-41,35.73834
2000-42,30.67602
2000-43,36.80827
2000-44,45.08065
2000-45,51.86955
2000-46,45.69953
2000-47,56.80754
2000-48,77.921
2000-49,84.22561
2000-50,68.2096
2000-51,65.97172
2001-00,187.83009
2001-01,303.37471
2001-02,414.84879
2001-03,375.34359
2001-04,251.82932
2001-05,161.01851
2001-06,91.399
2001-07,104.43096
2001-08,124.72637
2001-09,170.20867
2001-10,252.86396
2001-11,343.20217
2001-12,323.93082
2001-13,225.71939
2001-14,167.78946
2001-15,120.26602
2001-16,86.15141
2001-17,63.69918
2001-18,53.9592
2001-19,64.58646
2001-20,58.34784
2001-21,46.91589
2001-22,38.6573
2001-23,31.95596
2001-24,30.09683
2001-25,28.80669
2001-26,28.50184
2001-27,29.3033
2001-28,29.08166
2001-29,29.5443
2001-30,27.55754
2001-31,31.03868
2001-32,31.55924
2001-33,30.78181
2001-34,30.56933
2001-35,30.22157
2001-36,31.53665
2001-37,40.42696
2001-38,34.49351
2001-39,31.29089
2001-40,38.61509
2001-41,37.50544
2001-42,40.38842
2001-43,75.59832
2001-44,56.27988
2001-45,110.67641
2001-46,156.63439
2001-47,184.82085
2001-48,124.2731
2001-49,170.83315
2001-50,100.56899
2001-51,114.72707
2002-00,139.07774
2002-01,77.19616
2002-02,94.53371
2002-03,135.46902
2002-04,100.56804
2002-05,163.00793
2002-06,124.97267
2002-07,166.11907
2002-08,179.36127
2002-09,272.73354
2002-10,263.43236
2002-11,280.024
2002-12,272.15737
2002-13,267.55455
2002-14,283.45577
2002-15,174.90395
2002-16,146.11461
2002-17,79.14108
2002-18,61.51268
2002-19,53.8725
2002-20,50.45466
2002-21,45.71273
2002-22,42.8987
2002-23,35.66064
2002-24,34.56689
2002-25,37.70638
2002-26,28.2453
2002-27,30.50178
2002-28,30.06129
2002-29,31.69749
2002-30,27.30657
2002-31,30.1359
2002-32,31.23898
2002-33,33.05705
2002-34,32.69937
2002-35,36.3435
2002-36,36.14092
2002-37,29.9944
2002-38,33.83467
2002-39,35.15656
2002-40,32.90718
2002-41,54.33576
2002-42,53.01409
2002-43,96.03732
2002-44,85.63412
2002-45,121.17768
2002-46,142.35672
2002-47,132.75598
2002-48,176.35944
2002-49,137.41687
2002-50,123.0941
2002-51,164.87698
2003-00,189.635
2003-01,151.80471
2003-02,147.3511
2003-03,126.88529
2003-04,149.52754
2003-05,176.47669
2003-06,180.96781
2003-07,130.6093
2003-08,120.29158
2003-09,157.89641
2003-10,262.587
2003-11,428.79992
2003-12,188.39068
2003-13,150.43674
2003-14,142.99669
2003-15,170.80556
2003-16,111.60358
2003-17,84.85291
2003-18,69.23843
2003-19,54.44913
2003-20,46.79909
2003-21,44.05767
2003-22,42.95389
2003-23,35.5587
2003-24,32.65746
2003-25,30.98453
2003-26,29.98386
2003-27,33.00101
2003-28,32.29597
2003-29,33.97334
2003-30,29.57378
2003-31,33.73591
2003-32,34.52473
2003-33,33.12742
2003-34,34.05797
2003-35,34.4174
2003-36,37.25997
2003-37,32.56353
2003-38,35.22992
2003-39,31.57254
2003-40,37.73245
2003-41,50.04147
2003-42,51.85173
2003-43,61.1269
2003-44,43.97174
2003-45,39.67147
2003-46,49.73198
2003-47,57.85982
2003-48,93.05068
2003-49,90.78879
2003-50,105.39924
2003-51,102.92652
2003-52,112.87417
2004-00,92.72043
2004-01,70.98
2004-02,59.94286
2004-03,66.23155
2004-04,86.47143
2004-05,117.32709
2004-06,119.41043
2004-07,109.84894
2004-08,71.03623
2004-09,74.7453
2004-10,72.84607
2004-11,103.78229
2004-12,92.28148
2004-13,85.8891
2004-14,97.92423
2004-15,71.89831
2004-16,51.35404
2004-17,49.74343
2004-18,45.66164
2004-19,42.63434
2004-20,36.35165
2004-21,37.6856
2004-22,34.8783
2004-23,30.90596
2004-24,28.99484
2004-25,27.99543
2004-26,27.66194
2004-27,26.74537
2004-28,25.1838
2004-29,21.80008
2004-30,28.3657
2004-31,26.35943
2004-32,26.39881
2004-33,26.76647
2004-34,23.49159
2004-35,25.82711
2004-36,24.70029
2004-37,24.6954
2004-38,24.92043
2004-39,47.14334
2004-40,33.40784
2004-41,51.51959
2004-42,77.07766
2004-43,84.55932
2004-44,133.31966
2004-45,81.56671
2004-46,69.71352
2004-47,69.62779
2004-48,92.3
2004-49,123.01286
2004-50,101.65571
2004-51,90.42429
2005-00,106.19965
2005-01,111.84575
2005-02,99.98877
2005-03,87.54732
2005-04,94.87886
2005-05,93.14631
2005-06,115.17207
2005-07,117.29926
2005-08,111.48767
2005-09,136.28015
2005-10,153.57932
2005-11,190.83709
2005-12,150.45714
2005-13,130.91886
2005-14,81.3584
2005-15,70.4156
2005-16,71.33908
2005-17,64.63232
2005-18,49.13115
2005-19,46.34966
2005-20,40.17587
2005-21,35.99865
2005-22,33.78301
2005-23,32.52701
2005-24,31.40578
2005-25,27.47966
2005-26,27.98693
2005-27,26.4461
2005-28,27.22212
2005-29,28.85771
2005-30,25.314
2005-31,24.85529
2005-32,27.41314
2005-33,25.94429
2005-34,25.49143
2005-35,27.458
2005-36,25.503
2005-37,33.58314
2005-38,36.45945
2005-39,40.4288
2005-40,48.94
2005-41,32.91214
2005-42,47.56086
2005-43,41.55729
2005-44,52.16086
2005-45,47.66386
2005-46,46.358
2005-47,55.55057
2005-48,45.02929
2005-49,56.582
2005-50,137.59057
2005-51,144.05457
2006-00,66.674
2006-01,61.76357
2006-02,97.92343
2006-03,84.44314
2006-04,108.38057
2006-05,162.68157
2006-06,138.74
2006-07,87.14886
2006-08,125.08714
2006-09,209.33029
2006-10,184.02286
2006-11,299.06057
2006-12,284.48529
2006-13,288.39571
2006-14,516.30086
2006-15,138.89857
2006-16,85.79486
2006-17,66.4
2006-18,63.98214
2006-19,52.74757
2006-20,44.779
2006-21,36.60157
2006-22,37.12457
2006-23,45.87414
2006-24,29.86686
2006-25,27.32686
2006-26,25.39257
2006-27,24.35114
2006-28,23.83171
2006-29,25.86814
2006-30,23.66914
2006-31,23.31071
2006-32,18.30129
2006-33,21.11471
2006-34,20.71757
2006-35,26.27914
2006-36,27.66057
2006-37,29.58214
2006-38,25.88871
2006-39,25.616
2006-40,34.19629
2006-41,34.04143
2006-42,50.631
2006-43,60.81814
2006-44,36.44529
2006-45,55.93329
2006-46,65.03929
2006-47,79.75314
2006-48,77.012
2006-49,100.39457
2006-50,129.22914
2006-51,184.19814
2007-00,158.379
2007-01,137.66543
2007-02,114.51457
2007-03,124.57414
2007-04,132.843
2007-05,119.08229
2007-06,160.5
2007-07,88.95014
2007-08,78.10614
2007-09,155.57843
2007-10,478.41486
2007-11,309.34771
2007-12,247.683
2007-13,330.21514
2007-14,316.14057
2007-15,155.80314
2007-16,140.14186
2007-17,102.744
2007-18,95.07329
2007-19,75.00071
2007-20,52.39157
2007-21,43.81543
2007-22,34.45057
2007-23,33.34957
2007-24,29.56929
2007-25,28.12729
2007-26,25.41371
2007-27,22.83586
2007-28,22.79914
2007-29,24.78029
2007-30,23.20043
2007-31,23.325
2007-32,21.68014
2007-33,22.42657
2007-34,28.16714
